,ISO_1,LangName_1,ISO_2,LangName_2,Similarity,Robustness
938,amh,Amharic,hrv,Croatian,0.113,Medium
940,amh,Amharic,hun,Hungarian,0.259,Medium
941,amh,Amharic,hye,Armenian,0.27,Medium
942,amh,Amharic,ind,Indonesian,0.123,Medium
943,amh,Amharic,isl,Icelandic,0.197,Medium
944,amh,Amharic,ita,Italian,0.193,Medium
945,amh,Amharic,jpn,Japanese,0.06,Medium
947,amh,Amharic,kan,Kannada,0.211,Medium
949,amh,Amharic,kat,Georgian,0.332,Medium
950,amh,Amharic,kaz,Kazakh,0.541,Medium
952,amh,Amharic,kir,Kirghiz,0.719,Medium
955,amh,Amharic,kor,Korean,0.037,Medium
959,amh,Amharic,lao,Lao,0.271,Medium
963,amh,Amharic,lit,Lithuanian,0.103,Medium
966,amh,Amharic,lug,Ganda,0.193,Medium
967,amh,Amharic,luo,Luo,0.284,Medium
968,amh,Amharic,mal,Malayalam,0.189,Medium
969,amh,Amharic,mar,Marathi,0.069,Medium
971,amh,Amharic,mkd,Macedonian,0.311,Medium
972,amh,Amharic,mlt,Maltese,1.068,Medium
973,amh,Amharic,mni,Manipuri,0.112,Medium
983,amh,Amharic,nld,Dutch,0.44,Medium
985,amh,Amharic,nno,Norwegian Nynorsk,0.319,Medium
986,amh,Amharic,nob,Norwegian Bokmål,0.356,Medium
991,amh,Amharic,pan,Panjabi,0.608,Medium
997,amh,Amharic,pol,Polish,0.169,Medium
998,amh,Amharic,por,Portuguese,0.259,Medium
1002,amh,Amharic,ron,Romanian,0.16,Medium
1005,amh,Amharic,rus,Russian,0.17,Medium
1013,amh,Amharic,slk,Slovak,0.156,Medium
1014,amh,Amharic,slv,Slovenian,0.209,Medium
1017,amh,Amharic,snd,Sindhi,0.259,Low
1018,amh,Amharic,som,Somali,1.36,Low
1020,amh,Amharic,spa,Spanish,0.243,Medium
1026,amh,Amharic,swe,Swedish,0.196,Medium
1028,amh,Amharic,tam,Tamil,0.164,Medium
1030,amh,Amharic,tel,Telugu,0.113,Medium
1032,amh,Amharic,tgk,Tajik,0.461,Medium
1033,amh,Amharic,tgl,Tagalog,0.535,Medium
1034,amh,Amharic,tha,Thai,0.059,Medium
1039,amh,Amharic,tur,Turkish,0.26,Medium
1041,amh,Amharic,ukr,Ukrainian,0.358,Medium
1042,amh,Amharic,urd,Urdu,0.431,Medium
1044,amh,Amharic,vie,Vietnamese,0.17,Medium
1051,amh,Amharic,zsm,Standard Malay,0.203,Medium
1052,amh,Amharic,zul,Zulu,0.247,Medium
1113,arb,Standard Arabic,ary,Moroccan Arabic,0.423,Medium
1114,arb,Standard Arabic,arz,Egyptian Arabic,1.085,Medium
1115,arb,Standard Arabic,asm,Assamese,0.243,High
1123,arb,Standard Arabic,bel,Belarusian,0.33,High
1124,arb,Standard Arabic,ben,Bengali,0.295,High
1128,arb,Standard Arabic,bul,Bulgarian,0.236,High
1130,arb,Standard Arabic,cat,Catalan,0.282,High
1132,arb,Standard Arabic,ceb,Cebuano,0.065,Medium
1133,arb,Standard Arabic,ces,Czech,0.255,High
1141,arb,Standard Arabic,ckb,Central Kurdish,0.082,Medium
1142,arb,Standard Arabic,cmn,Mandarin Chinese,0.037,High
